timestamp,x,y,direction
2026-05-19 02:30:22,127,127,CENTER
2026-05-19 02:30:22,127,127,CENTER
2026-05-19 02:30:23,126,127,CENTER
2026-05-19 02:30:23,127,127,CENTER
2026-05-19 02:30:24,127,127,CENTER
2026-05-19 02:30:24,126,0,DOWN
2026-05-19 02:30:25,87,0,DOWN
2026-05-19 02:30:25,87,0,DOWN
2026-05-19 02:30:26,86,0,DOWN
2026-05-19 02:30:26,112,0,DOWN
2026-05-19 02:30:27,126,127,CENTER
2026-05-19 02:30:27,126,127,CENTER
2026-05-19 02:30:28,127,127,CENTER
2026-05-19 02:30:28,0,245,LEFT
2026-05-19 02:30:29,0,247,LEFT
2026-05-19 02:30:29,127,127,CENTER
2026-05-19 02:30:31,127,127,CENTER
2026-05-19 02:30:32,0,127,LEFT
2026-05-19 02:30:33,0,190,LEFT
2026-05-19 02:30:33,0,247,LEFT
2026-05-19 02:30:34,0,190,LEFT
2026-05-19 02:30:34,0,255,LEFT
2026-05-19 02:30:35,0,60,LEFT
2026-05-19 02:30:35,0,0,LEFT
2026-05-19 02:30:36,240,63,RIGHT
2026-05-19 02:30:36,126,127,CENTER
2026-05-19 02:30:37,255,3,RIGHT
2026-05-19 02:30:37,255,2,RIGHT
2026-05-19 02:30:38,126,127,CENTER
2026-05-19 02:30:38,127,127,CENTER
2026-05-19 02:30:39,127,127,CENTER
2026-05-19 02:30:39,126,127,CENTER
