Timestamp,Potentiometer Value (0-255)
18:45:28,163
18:45:29,163
18:45:30,163
18:45:32,163
18:45:33,163
18:45:34,163
18:45:35,163
18:45:36,163
18:45:37,162
18:45:38,163
18:45:39,163
18:45:40,163
18:45:42,163
18:45:43,163
18:47:59,163
18:48:00,162
18:48:01,163
18:48:03,163
18:48:04,163
18:48:05,163
18:48:07,163
18:48:08,163
18:48:09,163
18:48:11,254
18:48:12,103
18:48:13,87
18:48:14,47
18:48:16,255
18:48:17,39
18:48:18,209
18:48:20,0
18:48:21,255
18:48:22,255
18:48:24,255
18:48:25,255
18:48:26,255
18:48:49,255
18:48:50,255
18:48:51,255
18:48:53,255
18:48:54,255
18:48:55,254
18:48:56,255
18:48:57,255
18:48:58,255
18:48:59,254
18:49:00,255
18:49:03,255
18:49:04,255
18:49:06,255
18:49:07,255
18:49:08,96
18:49:10,95
18:49:11,238
18:49:12,0
18:49:14,255
18:49:15,255
18:49:30,255
18:49:31,255
18:49:33,0
18:49:34,224
18:49:35,217
18:49:36,226
18:49:38,255
18:49:39,255
18:49:40,36
18:49:42,134
18:49:43,89
18:49:44,200
18:49:46,230
18:49:47,0
18:49:48,255
18:49:50,0
18:49:51,117
18:49:52,254
18:49:53,255
