Timestamp,Duration (s)
2026-05-01 14:02:28,1.171
2026-05-01 14:02:31,2.422
2026-05-01 14:02:33,0.821
2026-05-01 14:02:34,0.574
2026-05-01 14:02:35,0.482
2026-05-01 14:02:35,0.422
2026-05-01 14:02:36,0.224
2026-05-01 14:02:36,0.21
2026-05-01 14:02:37,0.363
2026-05-01 14:02:37,0.172
2026-05-01 14:02:37,0.149
2026-05-01 14:02:38,0.262
2026-05-01 14:02:38,0.123
2026-05-01 14:02:38,0.121
